date,safegraph_place,visitor_home_cbg,number
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594805022,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510430101006,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511539012122,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,540039721013,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076112081,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076105073,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594914032,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076115021,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110122,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,240338002091,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594159001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510479302011,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,240430103001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510690508031,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076119003,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594802022,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594524001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594811041,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076110163,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106013,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076107022,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076116022,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076106021,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511539014033,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,510594203002,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,220710122001,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,240317009051,4
2020-02-03,sg:3ac43ac7989b40c386fc8ba2448a22ef,511076111011,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076110062,5
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,290770049002,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076110052,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076105073,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076102012,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076106014,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076110251,4
2020-02-03,sg:8144cd3a2ac44a03a4e764b739d27355,511076107012,4
