placekey,safegraph_place_id,location_name,street_address,city,naics_code,latitude,longitude,postal_code
zzw-222@63r-srz-sqz,sg:f44ea4cc7bd24d1faf056449ff2b5ce1,Rocco's NY Pizza & Subs,62 Plaza St NE,Leesburg,722511,39.109823,-77.548266,20176
222-224@63r-sy9-n5z,sg:24c0e69d35dd4d489a0c97784c125491,Harris Teeter,19350 Winmeade Dr,Lansdowne,445110,39.080591,-77.49559,20176
zzw-222@63r-sv5-ckf,sg:30261fb71b7843058dc2039c43c2ea5d,The Oak Barn at Loyalty,14572 Loyalty Rd,Leesburg,448120,39.212972,-77.584925,20176
228-222@63f-ykx-rrk,sg:b7e325fa36254747b952324d8288400e,Badcock Home Furniture,7327 Peppers Ferry Blvd Ste B,Fairlawn,442110,37.149663000000004,-80.584681,24141
22c-224@63f-ybn-4vz,sg:462a3e202ca54e6dbabeda3584d7c3d0,Fas Mart,1211 Toms Creek Rd,Blacksburg,447110,37.242932,-80.42871099999999,24060
22b-222@63f-yb6-st9,sg:c319d72f7c5c4c0a902a049c27cb0d65,Benny Nicola's,1018 Clement St,Radford,722511,37.137889,-80.554086,24141
222-222@63f-rw3-6hq,sg:c3e16c1c94334b40862aefae1d6970c3,Second Chance Consignments,8 Roanoke St,Christiansburg,453310,37.130932,-80.40645,24073
225-222@63r-sy9-8vz,sg:e6f40b30ae2d40bda224730be015a569,Atlantic Counseling Group,19420 Golf Vista Plz Ste 250,Lansdowne,621330,39.078835999999995,-77.482515,20176
zzw-222@63r-ss3-v4v,sg:9437e12b664847b484c3cfa656725b40,Market Street Coffee Shops,224 Cornwall St NW,Leesburg,722515,39.11998,-77.56920799999999,20176
222-222@63f-rvs-3yv,sg:25cb8a4297964e76b6e79d691666966a,Hardee's,103 Roanoke St,Christiansburg,722513,37.130093,-80.40522800000001,24073
223-222@63r-srz-kvf,sg:2cae9caa12074789bda0239f577b4b87,Row House,617 Potomac Station Dr NE Ste 210D,Leesburg,713940,39.097734,-77.527726,20176
zzw-223@63f-ybp-nbk,sg:69ea32cc992441f990d14279d999df4b,University Bookstore Va Tech,Kent St,Blacksburg,451211,37.228152,-80.418536,24060
229-222@63f-yc3-qxq,sg:f7da6a82d67244afaf432685617b5cf7,Harris Charles E DDS,210 Professional Park Dr SE Ste 11,Blacksburg,621210,37.196313,-80.40128399999999,24060
22b-222@63f-ybq-rkz,sg:191938ce5691431bab1dbae48e4d689e,Allstate Insurance,807 N Main St Ste A,Blacksburg,524210,37.236779,-80.421352,24060
222-223@63f-ybv-qvf,sg:ff1ccce295d94444bb42767e8562c352,S &amp A Towing and Recovery,3925 S Main St,Christiansburg,488410,37.178157,-80.414763,24073
222-222@63f-yb7-vvf,sg:38209b4a2a99406a9fadd7f940f8f3e2,D & E Garage,4202 Shamrock Cir,Belview,811111,37.170856,-80.528277,24141
zzy-222@63r-stm-mff,sg:b373b460374544ed9701be47593fba1a,Paige Hennis,1625 Chickasaw Telehealth Only Telehealth Only,Leesburg,621330,39.117389,-77.529414,20176
228-222@63f-s4s-snq,sg:f3797b6d6fb14eb6bf3504634b76ac9c,Grace Protestant Episcopal Church Of Radford Va,210 4th St,Radford,813110,37.131626000000004,-80.572005,24141
zzz-222@63f-y9f-jvz,sg:00ee834fe00948f39dddb23a0147b084,Edgemont Of Diamond Hills Park,Independence Blvd NW,Christiansburg,712190,37.143097999999995,-80.43183,24073
zzw-226@63r-ss2-hnq,sg:013d867519a244f19e0d13c948624423,MyEyeDr.,1047 Edwards Ferry Rd NE,Leesburg,621320,39.112218,-77.53394300000001,20176
224-222@63f-rvw-575,sg:4c004041e62c4ac78f1548669026d99b,Bargain Pawn,891 Radford St,Christiansburg,522298,37.127763,-80.425533,24073
22g-222@63r-syc-nyv,sg:7a13d461adc84aeaa886f48b6b2bd8ce,Ashburn Sterling Internal Medicine & Pediatrics,19415 Deerfield Ave Ste 213,Lansdowne,621111,39.079390000000004,-77.477523,20176
zzw-223@63f-tx6-33q,sg:d2d28b2ffe7046e3aab3408a88c7c6f1,Western Union,4622 Cleburne Blvd,Dublin,522390,37.082716,-80.689819,24084
224-222@63f-rw3-3yv,sg:93a6a03b1fbc465998ce5e98bc038e7e,Main Street Insurance Agency,10 W Main St,Christiansburg,524210,37.129453000000005,-80.409024,24073
222-222@63f-wgy-vfz,sg:d89e4864ebf94b428476db34dbd11468,Cracker Barrel,30 Hampton Blvd,Christiansburg,722511,37.138829,-80.353654,24073
22d-223@63r-ss3-qs5,sg:a9029cf69c084bba8e427b5e129c08d4,La Lou Bistro,19 W Market St,Leesburg,722511,39.115604,-77.56563100000001,20176
222-222@63f-ytb-45f,sg:cb5b5db1f7bf4197840c01f0e5abba96,Lyme Warrior,228 Givens Branch Trl,Newport,611620,37.369226,-80.343414,24128
225-222@63r-srr-pd9,sg:18176bd1a7fd4a8492773fe3a86321f3,Spanky's Shenanigans,538 E Market St,Leesburg,722410,39.109378,-77.550506,20176
zzy-222@63f-wjf-w8v,sg:276f6f954b5044d3b9c5e47c0b0690ca,Bennett Cemetery,Bennett Cemetery,Blacksburg,812220,37.26495,-80.329048,24060
zzw-222@63f-yb4-nwk,sg:c660d3fcd2704f769b067bcec8c4c676,Hill Insurance Agency,206 W Main St,Radford,524210,37.134593,-80.573903,24141
