"cbg_lon","cbg_lat","POI_lon","POI_lat","Distance"
-80.4057529453405,37.1034800438987,-80.505653,37.089172,14.19
-80.3645492690478,37.0633966245455,-80.505653,37.089172,16.3807
-80.588659092602,37.1420349680632,-80.505653,37.089172,12.525
-80.441983608909,37.0574211506616,-80.505653,37.089172,9.2859
-80.6148161341402,36.9917778564196,-80.505653,37.089172,17.9304
-80.5603433285892,37.1339542793532,-80.505653,37.089172,7.9603
-80.6232117753577,37.106602293345,-80.505653,37.089172,19.0369
-80.3559510485379,37.1195735878574,-80.505653,37.089172,16.7797
-80.5155951820541,37.165731378536,-80.505653,37.089172,15.0654
-80.4448135792378,37.118152929051,-80.505653,37.089172,12.203
-80.6519380294966,37.1456430959619,-80.505653,37.089172,22.4332
-80.6238523159261,37.072706551083,-80.505653,37.089172,16.8231
-80.4230522771977,37.1949907774553,-80.505653,37.089172,19.825
-80.7704775709745,37.1441513208779,-80.505653,37.089172,31.626
-80.5469199879583,37.1489623638227,-80.505653,37.089172,15.4207
-80.3987463322782,37.1433057723703,-80.505653,37.089172,13.9074
-80.4798034987174,37.1978533939219,-80.505653,37.089172,22.8737
-80.5669989018417,37.1197972515933,-80.505653,37.089172,8.3781
-80.4316099049951,37.2411939224227,-80.505653,37.089172,27.978
-80.7239549807624,37.0746631067882,-80.505653,37.089172,23.6116
-80.6618730464378,37.1985867034914,-80.505653,37.089172,35.6498
-80.4349699868985,37.1353908799497,-80.505653,37.089172,13.1067
-80.2319795081203,37.2229020068549,-80.505653,37.089172,34.1245
-80.6836351235132,37.1035335451954,-80.505653,37.089172,21.7855
-80.3355647241491,37.2867746647256,-80.505653,37.089172,36.9681
-80.5955465151115,37.1710427158253,-80.505653,37.089172,14.7905
-80.4574066136827,37.2097752851342,-80.505653,37.089172,27.8928
-80.3922175700098,37.1282271997738,-80.505653,37.089172,13.1213
-80.7595876023879,37.0646169001196,-80.505653,37.089172,26.9523
-80.5445919841749,37.1227248377514,-80.505653,37.089172,5.7667
-80.4242339167959,37.153706162723,-80.505653,37.089172,14.6256
-80.2767409786788,37.1682945838885,-80.505653,37.089172,25.025
-80.4377904808155,37.151479232381,-80.505653,37.089172,16.1657
-80.4674991189843,37.1679253150927,-80.505653,37.089172,19.5808
-80.577657812116,37.1257874482377,-80.505653,37.089172,9.6271
-80.7792492271022,37.0540035107552,-80.505653,37.089172,28.116
-80.3838843581547,37.1998723788212,-80.505653,37.089172,22.7907
-80.6882720518082,37.0659124619487,-80.505653,37.089172,20.8421
-80.569406391956,37.1307413098116,-80.505653,37.089172,10.2428
-80.4126480015464,37.2401061013131,-80.505653,37.089172,27.9301
-80.5425001669868,37.2360813132422,-80.505653,37.089172,28.8402
-80.6772386549049,37.103724089189,-80.505653,37.089172,22.2539
-80.3981818301184,37.1349446950913,-80.505653,37.089172,12.55
-80.6618730464378,37.1985867034914,-80.576235,37.13186,27.3302
-80.4242339167959,37.153706162723,-80.413922,37.231758,14.1725
-80.4230522771977,37.1949907774553,-80.401284,37.196313,4.152
-80.4448135792378,37.118152929051,-80.401284,37.196313,12.8623
-80.3838843581547,37.1998723788212,-80.444358,37.224772,9.8647
-80.7099814276424,37.0154040754411,-80.720161,37.099011,15.0394
-80.6882720518082,37.0659124619487,-80.720161,37.099011,7.9365
-80.569406391956,37.1307413098116,-80.505791,37.091794,10.1838
-80.5425001669868,37.2360813132422,-80.444343,37.224848,12.2146
-80.3308477595896,37.1342392377725,-80.414668,37.14454,11.5441
-80.455075106728,37.2577588997268,-80.409461,37.224861,7.5618
-80.4136925837937,37.2230868709393,-80.409461,37.224861,0.8859
-80.7479027179401,37.0583454300202,-80.684046,37.105665,9.4591
-80.6618730464378,37.1985867034914,-80.684046,37.105665,14.8005
-80.6836351235132,37.1035335451954,-80.684046,37.105665,0.3771
-80.4057529453405,37.1034800438987,-80.414283,37.148284,8.7145
-80.5857433181278,37.1180677036741,-80.568454,37.12838,2.2803
-80.588659092602,37.1420349680632,-80.580191,37.138962,2.6927
-80.7479027179401,37.0583454300202,-80.582766,37.148929,20.5615
-80.5001036653361,37.1189082856858,-80.582766,37.148929,10.0829
-80.6148161341402,36.9917778564196,-80.423042,37.160215,29.8474
-80.5445919841749,37.1227248377514,-80.444225,37.224789,23.7242
-80.4377904808155,37.151479232381,-80.444225,37.224789,13.9924
-80.4798034987174,37.1978533939219,-80.411287,37.252573,11.3106
-80.4242339167959,37.153706162723,-80.41329,37.186363,5.9956
-80.3355647241491,37.2867746647256,-80.505732,37.0919,36.9156
-80.6832781364396,37.1139501597423,-80.41404,37.186745,29.3872
-80.577657812116,37.1257874482377,-80.41404,37.186745,23.2901
-80.6519380294966,37.1456430959619,-80.41404,37.186745,30.3344
-80.3756109112971,37.1632548804573,-80.41404,37.186745,7.969
-80.4230522771977,37.1949907774553,-80.41404,37.186745,2.2093
-80.4674991189843,37.1679253150927,-80.419626,37.169883,5.1565
-80.577657812116,37.1257874482377,-80.718259,37.09709,18.2631
-80.6832781364396,37.1139501597423,-80.718259,37.09709,4.9
-80.4230522771977,37.1949907774553,-80.419527,37.170509,4.0814
-80.7655175774074,37.0502467887587,-80.558308,37.140068,25.0477
-80.588659092602,37.1420349680632,-80.582979,37.148546,2.2154
-80.6618730464378,37.1985867034914,-80.409359,37.186426,43.5308
-80.3922175700098,37.1282271997738,-80.409359,37.186426,10.9817
-80.6882720518082,37.0659124619487,-80.413352,37.147949,32.2492
-80.3981818301184,37.1349446950913,-80.414047,37.14952,3.0617
-80.7818835323882,37.0430353335215,-80.414047,37.14952,39.5993
-80.4377904808155,37.151479232381,-80.414047,37.14952,2.9142
-80.4306709876565,37.1726889683906,-80.414047,37.14952,4.727
-80.5001036653361,37.1189082856858,-80.414047,37.14952,11.6358
-80.5469199879583,37.1489623638227,-80.413437,37.146946,17.1033
-80.3645492690478,37.0633966245455,-80.413437,37.146946,13.8947
-80.4246998781866,37.2434610933434,-80.413437,37.146946,14.7373
-80.4377904808155,37.151479232381,-80.413437,37.146946,3.1061
-80.6882720518082,37.0659124619487,-80.688501,37.103702,5.1323
