"","ct2021","cbg2019","Geographic.Area.Name","Total.population","Median.age..years.","Sex.ratio..males.per.100.females.","X65_and_over","Population.25.years.and.over","Bachelor.s.degree.or.higher","Hispanic.or.Latino","Income.below..25.000","Total.households","area","pop_density","White","any_black","prop_urban"
"96","51155210300","511552103003","Census Tract 2103, Pulaski County, Virginia",3883,36.9,106.3,20.98892609,2707,10.9,3.579706413,20.9,1739,129679606,29.94302743,89.85320628,5.150656709,0.033734059
"97","51155210300","511552103002","Census Tract 2103, Pulaski County, Virginia",3883,36.9,106.3,20.98892609,2707,10.9,3.579706413,20.9,1739,129679606,29.94302743,89.85320628,5.150656709,0.033734059
"98","51155210401","511552104001","Census Tract 2104.01, Pulaski County, Virginia",2576,43.8,81.9,16.57608696,1903,10.7,0,25.6,1079,49416777,52.1280455,87.46118012,12.53881988,0.08037836
"99","51155210401","511552104003","Census Tract 2104.01, Pulaski County, Virginia",2576,43.8,81.9,16.57608696,1903,10.7,0,25.6,1079,49416777,52.1280455,87.46118012,12.53881988,0.08037836
"100","51155210401","511552104002","Census Tract 2104.01, Pulaski County, Virginia",2576,43.8,81.9,16.57608696,1903,10.7,0,25.6,1079,49416777,52.1280455,87.46118012,12.53881988,0.08037836
"101","51155210402","511552104004","Census Tract 2104.02, Pulaski County, Virginia",2520,47.7,103.7,14.44444444,1897,15.8,0,6.1,982,77010548,32.72279013,90.07936508,7.658730159,0.000875031
"102","51155210402","511552104005","Census Tract 2104.02, Pulaski County, Virginia",2520,47.7,103.7,14.44444444,1897,15.8,0,6.1,982,77010548,32.72279013,90.07936508,7.658730159,0.000875031
"103","51155210500","511552105002","Census Tract 2105, Pulaski County, Virginia",2018,52.6,123.5,23.78592666,1543,23.3,0.247770069,15.3,947,218044229,9.25500303,98.61248761,1.387512389,0
"104","51155210500","511552105001","Census Tract 2105, Pulaski County, Virginia",2018,52.6,123.5,23.78592666,1543,23.3,0.247770069,15.3,947,218044229,9.25500303,98.61248761,1.387512389,0
"105","51155210500","511552105003","Census Tract 2105, Pulaski County, Virginia",2018,52.6,123.5,23.78592666,1543,23.3,0.247770069,15.3,947,218044229,9.25500303,98.61248761,1.387512389,0
"106","51155210600","511552106001","Census Tract 2106, Pulaski County, Virginia",4692,43.5,137.3,19.13895993,3608,21.6,0.383631714,19.2,1599,57540935,81.54194922,93.96845695,4.731457801,0.053215059
"107","51155210600","511552106002","Census Tract 2106, Pulaski County, Virginia",4692,43.5,137.3,19.13895993,3608,21.6,0.383631714,19.2,1599,57540935,81.54194922,93.96845695,4.731457801,0.053215059
"108","51155210600","511552106003","Census Tract 2106, Pulaski County, Virginia",4692,43.5,137.3,19.13895993,3608,21.6,0.383631714,19.2,1599,57540935,81.54194922,93.96845695,4.731457801,0.053215059
"109","51155210700","511552107001","Census Tract 2107, Pulaski County, Virginia",3776,43.1,94.4,20.57733051,2706,9.4,1.006355932,24.3,1710,5369857,703.184461,92.61122881,6.329449153,1.000399018
"110","51155210700","511552107002","Census Tract 2107, Pulaski County, Virginia",3776,43.1,94.4,20.57733051,2706,9.4,1.006355932,24.3,1710,5369857,703.184461,92.61122881,6.329449153,1.000399018
"111","51155210700","511552107003","Census Tract 2107, Pulaski County, Virginia",3776,43.1,94.4,20.57733051,2706,9.4,1.006355932,24.3,1710,5369857,703.184461,92.61122881,6.329449153,1.000399018
"112","51155980100","511559801001","Census Tract 9801, Pulaski County, Virginia",0,NA,NA,NA,0,NA,NA,NA,0,7060074,0,NA,NA,0
"113","51155980200","511559802001","Census Tract 9802, Pulaski County, Virginia",0,NA,NA,NA,0,NA,NA,NA,0,12259427,0,NA,NA,0.001851828
"114","51750010101","517500101011","Census Tract 101.01, Radford city, Virginia",4739,22.8,81.1,5.739607512,1518,44.1,3.502848702,54.7,1539,5097953,929.5887977,86.09411268,8.630512766,0.987428874
"115","51750010101","517500101013","Census Tract 101.01, Radford city, Virginia",4739,22.8,81.1,5.739607512,1518,44.1,3.502848702,54.7,1539,5097953,929.5887977,86.09411268,8.630512766,0.987428874
"116","51750010101","517500101012","Census Tract 101.01, Radford city, Virginia",4739,22.8,81.1,5.739607512,1518,44.1,3.502848702,54.7,1539,5097953,929.5887977,86.09411268,8.630512766,0.987428874
"117","51750010102","517500101021","Census Tract 101.02, Radford city, Virginia",5609,20.2,79.8,2.620788019,1184,49.1,2.923872348,46,1020,6165414,909.7523702,70.7969335,24.01497593,0.981341747
"118","51750010102","517500101023","Census Tract 101.02, Radford city, Virginia",5609,20.2,79.8,2.620788019,1184,49.1,2.923872348,46,1020,6165414,909.7523702,70.7969335,24.01497593,0.981341747
"119","51750010102","517500101022","Census Tract 101.02, Radford city, Virginia",5609,20.2,79.8,2.620788019,1184,49.1,2.923872348,46,1020,6165414,909.7523702,70.7969335,24.01497593,0.981341747
"120","51750010201","517500102001","Census Tract 102.01, Radford city, Virginia",3883,46.5,100.5,16.37908833,2927,38.5,2.317795519,45.1,1631,8531090,455.1587195,94.0509915,1.725469997,0.49386616
"121","51750010201","517500102004","Census Tract 102.01, Radford city, Virginia",3883,46.5,100.5,16.37908833,2927,38.5,2.317795519,45.1,1631,8531090,455.1587195,94.0509915,1.725469997,0.49386616
"122","51750010201","517500102005","Census Tract 102.01, Radford city, Virginia",3883,46.5,100.5,16.37908833,2927,38.5,2.317795519,45.1,1631,8531090,455.1587195,94.0509915,1.725469997,0.49386616
"123","51750010202","517500102003","Census Tract 102.02, Radford city, Virginia",3602,39.3,88.7,14.26985008,2623,37.3,3.164908384,26.7,1487,5267270,683.8457113,95.78012215,2.054414214,0.763714992
"124","51750010202","517500102002","Census Tract 102.02, Radford city, Virginia",3602,39.3,88.7,14.26985008,2623,37.3,3.164908384,26.7,1487,5267270,683.8457113,95.78012215,2.054414214,0.763714992
